Percentile,CMAX_dBZ,SDRR_dBZ,Difference_dBZ
73.05,-25,0.916,-25.916
73,-25,0.909,-25.909
72.95,-25,0.902,-25.902
72.9,-25,0.896,-25.896
72.85,-25,0.889,-25.889
72.8,-25,0.883,-25.883
72.75,-25,0.877,-25.877
72.7,-25,0.871,-25.871
72.65,-25,0.865,-25.865
72.6,-25,0.859,-25.859
72.55,-25,0.853,-25.853
72.5,-25,0.847,-25.847
72.45,-25,0.842,-25.842
72.4,-25,0.836,-25.836
72.35,-25,0.83,-25.83
72.3,-25,0.825,-25.825
72.25,-25,0.82,-25.82
72.2,-25,0.814,-25.814
72.15,-25,0.809,-25.809
72.1,-25,0.803,-25.803
72.05,-25,0.798,-25.798
72,-25,0.793,-25.793
71.95,-25,0.788,-25.788
71.9,-25,0.783,-25.783
71.85,-25,0.778,-25.778
71.8,-25,0.773,-25.773
71.75,-25,0.768,-25.768
71.7,-25,0.763,-25.763
71.65,-25,0.758,-25.758
71.6,-25,0.753,-25.753
71.55,-25,0.748,-25.748
71.5,-25,0.743,-25.743
71.45,-25,0.738,-25.738
71.4,-25,0.734,-25.734
71.35,-25,0.729,-25.729
71.3,-25,0.724,-25.724
71.25,-25,0.72,-25.72
71.2,-25,0.715,-25.715
71.15,-25,0.711,-25.711
71.1,-25,0.706,-25.706
71.05,-25,0.701,-25.701
71,-25,0.697,-25.697
70.95,-25,0.692,-25.692
70.9,-25,0.688,-25.688
70.85,-25,0.683,-25.683
70.8,-25,0.679,-25.679
70.75,-25,0.674,-25.674
70.7,-25,0.67,-25.67
70.65,-25,0.666,-25.666
70.6,-25,0.661,-25.661
70.55,-25,0.657,-25.657
70.5,-25,0.652,-25.652
70.45,-25,0.648,-25.648
70.4,-25,0.644,-25.644
70.35,-25,0.639,-25.639
70.3,-25,0.635,-25.635
70.25,-25,0.631,-25.631
70.2,-25,0.626,-25.626
70.15,-25,0.622,-25.622
70.1,-25,0.618,-25.618
70.05,-25,0.614,-25.614
70,-25,0.609,-25.609
69.95,-25,0.605,-25.605
69.9,-25,0.601,-25.601
69.85,-25,0.597,-25.597
69.8,-25,0.592,-25.592
69.75,-25,0.588,-25.588
69.7,-25,0.584,-25.584
69.65,-25,0.58,-25.58
69.6,-25,0.576,-25.576
69.55,-25,0.572,-25.572
